Protein Id,Id,Gene Symbol,Description
sp|Q9CXL3|CG050_MOUSE,7788,,CG050_MOUSE Uncharacterized protein C7orf50 homolog
tr|Q91XZ5|Q91XZ5_MOUSE,7789,Pcdhb5,Q91XZ5_MOUSE Protein Pcdhb5
sp|Q8VEL0|MSPD1_MOUSE,7790,Mospd1,MSPD1_MOUSE Motile sperm domain-containing protein 1
sp|Q8K0E7|SERC2_MOUSE,7791,Serinc2,SERC2_MOUSE Serine incorporator 2
sp|Q99JG7|TNIP2_MOUSE,7792,Tnip2,TNIP2_MOUSE TNFAIP3-interacting protein 2
sp|P63002|AES_MOUSE,7793,Aes,AES_MOUSE Amino-terminal enhancer of split
sp|P27512|TNR5_MOUSE,7794,Cd40,TNR5_MOUSE Tumor necrosis factor receptor superfamily member 5
sp|A2AGA4|RHBL2_MOUSE,7795,Rhbdl2,RHBL2_MOUSE Rhomboid-related protein 2
sp|P04202|TGFB1_MOUSE,7796,Tgfb1,TGFB1_MOUSE Transforming growth factor beta-1
sp|O88895|HDAC3_MOUSE,7797,Hdac3,HDAC3_MOUSE Histone deacetylase 3
sp|Q9WTU0|PHF2_MOUSE,7798,Phf2,PHF2_MOUSE Lysine-specific demethylase PHF2
sp|Q9JMA7|CP341_MOUSE,7799,Cyp3a41a,CP341_MOUSE Cytochrome P450 3A41
sp|Q9D0V7|RCAS1_MOUSE,7800,Ebag9,RCAS1_MOUSE Receptor-binding cancer antigen expressed on SiSo cells
sp|Q8BL95|CU059_MOUSE,7801,,CU059_MOUSE UPF0769 protein C21orf59 homolog
sp|Q924H7|WAC_MOUSE,7802,Wac,WAC_MOUSE WW domain-containing adapter protein with coiled-coil
sp|P15530|CD79B_MOUSE,7803,Cd79b,CD79B_MOUSE B-cell antigen receptor complex-associated protein beta chain
sp|P60521|GBRL2_MOUSE,7804,Gabarapl2,GBRL2_MOUSE Gamma-aminobutyric acid receptor-associated protein-like 2
sp|Q921Y2|IMP3_MOUSE,7805,Imp3,IMP3_MOUSE U3 small nucleolar ribonucleoprotein protein IMP3
sp|Q8R1S4|MTSS1_MOUSE,7806,Mtss1,MTSS1_MOUSE Metastasis suppressor protein 1
sp|P97287|MCL1_MOUSE,7807,Mcl1,MCL1_MOUSE Induced myeloid leukemia cell differentiation protein Mcl-1 homolog
sp|Q922X9|ANM7_MOUSE,7808,Prmt7,ANM7_MOUSE Protein arginine N-methyltransferase 7
sp|Q9WVG9|MS3L1_MOUSE,7809,Msl3,MS3L1_MOUSE Male-specific lethal 3 homolog
sp|Q9CQY2|RAM_MOUSE,7810,Fam103a1,RAM_MOUSE RNMT-activating mini protein
sp|Q60720|CY561_MOUSE,7811,Cyb561,CY561_MOUSE Cytochrome b561
sp|Q8VC34|RPAP2_MOUSE,7812,Rpap2,RPAP2_MOUSE Putative RNA polymerase II subunit B1 CTD phosphatase Rpap2
sp|Q9CR56|KBRS2_MOUSE,7813,Nkiras2,KBRS2_MOUSE NF-kappa-B inhibitor-interacting Ras-like protein 2
sp|Q9WUH1|TM115_MOUSE,7814,Tmem115,TM115_MOUSE Transmembrane protein 115
sp|Q91VP7|TM101_MOUSE,7815,Tmem101,TM101_MOUSE Transmembrane protein 101
sp|Q8BGQ6|EFC14_MOUSE,7816,Efcab14,EFC14_MOUSE EF-hand calcium-binding domain-containing protein 14
sp|Q9QXK2|RAD18_MOUSE,7817,Rad18,RAD18_MOUSE E3 ubiquitin-protein ligase RAD18
sp|Q8R4Y8|RTTN_MOUSE,7818,Rttn,RTTN_MOUSE Rotatin
sp|Q80U30|CL16A_MOUSE,7819,Clec16a,CL16A_MOUSE Protein CLEC16A
sp|Q8C0N2|GPAT3_MOUSE,7820,Agpat9,GPAT3_MOUSE Glycerol-3-phosphate acyltransferase 3
sp|Q9CYZ8|SSBP2_MOUSE,7821,Ssbp2,SSBP2_MOUSE Single-stranded DNA-binding protein 2
sp|Q920N2|BPL1_MOUSE,7822,Hlcs,BPL1_MOUSE Biotin--protein ligase
sp|Q9D902|T2EB_MOUSE,7823,Gtf2e2,T2EB_MOUSE General transcription factor IIE subunit 2
sp|Q9D6Z0|ALKB7_MOUSE,7824,Alkbh7,"ALKB7_MOUSE Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial"
sp|P26151|FCGR1_MOUSE,7825,Fcgr1,FCGR1_MOUSE High affinity immunoglobulin gamma Fc receptor I
sp|Q9D7I5|LHPP_MOUSE,7826,Lhpp,LHPP_MOUSE Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
sp|Q8BGV9|ATG4D_MOUSE,7827,Atg4d,ATG4D_MOUSE Cysteine protease ATG4D
sp|Q6IEE6|T132E_MOUSE,7828,Tmem132e,T132E_MOUSE Transmembrane protein 132E
sp|Q61315|APC_MOUSE,7829,Apc,APC_MOUSE Adenomatous polyposis coli protein
sp|P39087|GRIK2_MOUSE,7830,Grik2,"GRIK2_MOUSE Glutamate receptor ionotropic, kainate 2"
tr|E9PYL2|E9PYL2_MOUSE,7831,Prr12,E9PYL2_MOUSE Protein Prr12
sp|Q9ET47|ESPN_MOUSE,7832,Espn,ESPN_MOUSE Espin
sp|Q9CPY6|GID4_MOUSE,7833,Gid4,GID4_MOUSE Glucose-induced degradation protein 4 homolog
sp|P41731|CD63_MOUSE,7834,Cd63,CD63_MOUSE CD63 antigen
sp|P10923|OSTP_MOUSE,7835,Spp1,OSTP_MOUSE Osteopontin
sp|Q8R0G7|SPNS1_MOUSE,7836,Spns1,SPNS1_MOUSE Protein spinster homolog 1
sp|P50429|ARSB_MOUSE,7837,Arsb,ARSB_MOUSE Arylsulfatase B
sp|Q9CZ69|CKLF6_MOUSE,7838,Cmtm6,CKLF6_MOUSE CKLF-like MARVEL transmembrane domain-containing protein 6
sp|P53762|ARNT_MOUSE,7839,Arnt,ARNT_MOUSE Aryl hydrocarbon receptor nuclear translocator
sp|Q8K2P7|S38A1_MOUSE,7840,Slc38a1,S38A1_MOUSE Sodium-coupled neutral amino acid transporter 1
sp|Q8VD57|SFT2B_MOUSE,7841,Sft2d2,SFT2B_MOUSE Vesicle transport protein SFT2B
sp|Q64151|SEM4C_MOUSE,7842,Sema4c,SEM4C_MOUSE Semaphorin-4C
sp|P63082|VATL_MOUSE,7843,Atp6v0c,VATL_MOUSE V-type proton ATPase 16 kDa proteolipid subunit
sp|Q8CI61|BAG4_MOUSE,7844,Bag4,BAG4_MOUSE BAG family molecular chaperone regulator 4
sp|Q8JZY4|MRRP3_MOUSE,7845,Kiaa0391,MRRP3_MOUSE Mitochondrial ribonuclease P protein 3
sp|Q69ZT9|TBC30_MOUSE,7846,Tbc1d30,TBC30_MOUSE TBC1 domain family member 30
sp|Q8CFE6|S38A2_MOUSE,7847,Slc38a2,S38A2_MOUSE Sodium-coupled neutral amino acid transporter 2
tr|E9Q409|E9Q409_MOUSE,7848,Prss32,E9Q409_MOUSE Protein Prss32
tr|Q8BTE5|Q8BTE5_MOUSE,7849,Cebpzos,Q8BTE5_MOUSE Uncharacterized protein
sp|Q9R1W5|CALRL_MOUSE,7850,Calcrl,CALRL_MOUSE Calcitonin gene-related peptide type 1 receptor
sp|Q8CD91|SMOC2_MOUSE,7851,Smoc2,SMOC2_MOUSE SPARC-related modular calcium-binding protein 2
sp|Q8BH49|SESQ1_MOUSE,7852,Fam109a,SESQ1_MOUSE Sesquipedalian-1
sp|Q9CR64|KISHA_MOUSE,7853,Tmem167a,KISHA_MOUSE Protein kish-A
sp|B1AUR6|MMS22_MOUSE,7854,Mms22l,MMS22_MOUSE Protein MMS22-like
sp|P11725|OTC_MOUSE,7855,Otc,"OTC_MOUSE Ornithine carbamoyltransferase, mitochondrial"
sp|Q8BZ60|STON2_MOUSE,7856,Ston2,STON2_MOUSE Stonin-2
sp|Q8BTF7|DNLI4_MOUSE,7857,Lig4,DNLI4_MOUSE DNA ligase 4
sp|Q5HZK1|CEP44_MOUSE,7858,Cep44,CEP44_MOUSE Centrosomal protein of 44 kDa
sp|Q9EQQ0|SUV92_MOUSE,7859,Suv39h2,SUV92_MOUSE Histone-lysine N-methyltransferase SUV39H2
sp|Q8K2H4|ACAP1_MOUSE,7860,Acap1,"ACAP1_MOUSE Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1"
sp|P01746|HVM02_MOUSE,7861,,HVM02_MOUSE Ig heavy chain V region 93G7
sp|P11404|FABPH_MOUSE,7862,Fabp3,"FABPH_MOUSE Fatty acid-binding protein, heart"
sp|P40338|VHL_MOUSE,7863,Vhl,VHL_MOUSE Von Hippel-Lindau disease tumor suppressor
tr|Q5NCC7|Q5NCC7_MOUSE,7864,Olfr324,Q5NCC7_MOUSE Olfactory receptor
sp|Q91WL8|WWOX_MOUSE,7865,Wwox,WWOX_MOUSE WW domain-containing oxidoreductase
sp|P01634|KV5A2_MOUSE,7866,,KV5A2_MOUSE Ig kappa chain V-V region MOPC 21
sp|Q00493|CBPE_MOUSE,7867,Cpe,CBPE_MOUSE Carboxypeptidase E
sp|Q9DAX2|LPP2_MOUSE,7868,Ppap2c,LPP2_MOUSE Lipid phosphate phosphohydrolase 2
sp|Q9JIP4|PANX1_MOUSE,7869,Panx1,PANX1_MOUSE Pannexin-1
tr|Q8R155|Q8R155_MOUSE,7870,BC025446,Q8R155_MOUSE Protein BC025446
sp|P35461|LY6G_MOUSE,7871,Ly6g,LY6G_MOUSE Lymphocyte antigen 6G (Fragment)
sp|A7E3W2|LG3BP_BOVIN_contaminant,7872,LGALS3BP,LG3BP_BOVIN_contaminant Galectin-3-binding protein
sp|Q8BK03|FA73B_MOUSE,7873,Fam73b,FA73B_MOUSE Protein FAM73B
sp|P19437|CD20_MOUSE,7874,Ms4a1,CD20_MOUSE B-lymphocyte antigen CD20
tr|Q3URQ4|Q3URQ4_MOUSE,7875,C78339,Q3URQ4_MOUSE Protein C78339
sp|Q6RUT7|CSMT1_MOUSE,7876,Ccsmst1,CSMT1_MOUSE Protein CCSMST1
sp|Q9JJN6|CNBP1_MOUSE,7877,Ctnnbip1,CNBP1_MOUSE Beta-catenin-interacting protein 1
sp|Q8VD58|EVI2B_MOUSE,7878,Evi2b,EVI2B_MOUSE Protein EVI2B
tr|G3UW85|G3UW85_MOUSE,7879,Erh,G3UW85_MOUSE Enhancer of rudimentary homolog
tr|Q3TNB8|Q3TNB8_MOUSE,7880,Fgd3,"Q3TNB8_MOUSE FYVE, RhoGEF and PH domain containing 3, isoform CRA_b"
sp|Q8BP74|PSTK_MOUSE,7881,Pstk,PSTK_MOUSE L-seryl-tRNA(Sec) kinase
sp|Q8BYN5|FSD1L_MOUSE,7882,Fsd1l,FSD1L_MOUSE FSD1-like protein
sp|O70496|CLCN7_MOUSE,7883,Clcn7,CLCN7_MOUSE H(+)/Cl(-) exchange transporter 7
sp|P15066|JUND_MOUSE,7884,Jund,JUND_MOUSE Transcription factor jun-D
sp|Q3TMW1|C102A_MOUSE,7885,Ccdc102a,C102A_MOUSE Coiled-coil domain-containing protein 102A
sp|Q8R5K2|UBP33_MOUSE,7886,Usp33,UBP33_MOUSE Ubiquitin carboxyl-terminal hydrolase 33
sp|Q812G0|MGT4A_MOUSE,7887,Mgat4a,"MGT4A_MOUSE Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"
sp|Q8BGD8|COA6_MOUSE,7888,Coa6,COA6_MOUSE Cytochrome c oxidase assembly factor 6 homolog
sp|Q8BMA5|NPAT_MOUSE,7889,Npat,NPAT_MOUSE Protein NPAT
sp|Q9WTZ0|UXT_MOUSE,7890,Uxt,UXT_MOUSE Protein UXT
sp|Q00417|TCF7_MOUSE,7891,Tcf7,TCF7_MOUSE Transcription factor 7
sp|A6X919|D19L1_MOUSE,7892,Dpy19l1,D19L1_MOUSE Probable C-mannosyltransferase DPY19L1
sp|Q78S06|SYS1_MOUSE,7893,Sys1,SYS1_MOUSE Protein SYS1 homolog
sp|Q0VAV2|EXPH5_MOUSE,7894,Exph5,EXPH5_MOUSE Exophilin-5
sp|Q3UFT3|GAREM_MOUSE,7895,Garem,GAREM_MOUSE GRB2-associated and regulator of MAPK protein
sp|Q8C669|PELI1_MOUSE,7896,Peli1,PELI1_MOUSE E3 ubiquitin-protein ligase pellino homolog 1
sp|P18181|CD48_MOUSE,7897,Cd48,CD48_MOUSE CD48 antigen
sp|Q80T85|DCAF5_MOUSE,7898,Dcaf5,DCAF5_MOUSE DDB1- and CUL4-associated factor 5
sp|P01844|LAC2_MOUSE,7899,Iglc2,LAC2_MOUSE Ig lambda-2 chain C region
sp|Q9CZ96|ZCRB1_MOUSE,7900,Zcrb1,ZCRB1_MOUSE Zinc finger CCHC-type and RNA-binding motif-containing protein 1
sp|Q924H9|DQX1_MOUSE,7901,Dqx1,DQX1_MOUSE ATP-dependent RNA helicase DQX1
sp|Q9D8N6|LIN37_MOUSE,7902,Lin37,LIN37_MOUSE Protein lin-37 homolog
sp|Q9D0J8|PTMS_MOUSE,7903,Ptms,PTMS_MOUSE Parathymosin
sp|Q9CR13|CG055_MOUSE,7904,,CG055_MOUSE UPF0562 protein C7orf55 homolog
sp|Q8BG40|KTNB1_MOUSE,7905,Katnb1,KTNB1_MOUSE Katanin p80 WD40 repeat-containing subunit B1
sp|Q5SV77|GGNB2_MOUSE,7906,Ggnbp2,GGNB2_MOUSE Gametogenetin-binding protein 2
sp|O09037|REG3A_MOUSE,7907,Reg3a,REG3A_MOUSE Regenerating islet-derived protein 3-alpha
sp|P51906|EAA3_MOUSE,7908,Slc1a1,EAA3_MOUSE Excitatory amino acid transporter 3
sp|Q7TQJ8|WTIP_MOUSE,7909,Wtip,WTIP_MOUSE Wilms tumor protein 1-interacting protein
sp|Q3TC33|CC127_MOUSE,7910,Ccdc127,CC127_MOUSE Coiled-coil domain-containing protein 127
tr|B5B2N2|B5B2N2_MOUSE,7911,Nfatc1,B5B2N2_MOUSE Nuclear factor of activated T-cells c1 isoform IA-IXL
sp|O54910|IKBE_MOUSE,7912,Nfkbie,IKBE_MOUSE NF-kappa-B inhibitor epsilon
sp|Q80Y20|ALKB8_MOUSE,7913,Alkbh8,ALKB8_MOUSE Alkylated DNA repair protein alkB homolog 8
tr|Q9CQ11|Q9CQ11_MOUSE,7914,2010109I03Rik,Q9CQ11_MOUSE Protein 2010109I03Rik
sp|Q80SY6|ADAL_MOUSE,7915,Adal,ADAL_MOUSE Adenosine deaminase-like protein
sp|Q6NXK5|DUS11_MOUSE,7916,Dusp11,DUS11_MOUSE RNA/RNP complex-1-interacting phosphatase
sp|Q8BUL6|PKHA1_MOUSE,7917,Plekha1,PKHA1_MOUSE Pleckstrin homology domain-containing family A member 1
sp|Q9Z1R3|APOM_MOUSE,7918,Apom,APOM_MOUSE Apolipoprotein M
sp|P48999|LOX5_MOUSE,7919,Alox5,LOX5_MOUSE Arachidonate 5-lipoxygenase
sp|Q3UHB1|NT5D3_MOUSE,7920,Nt5dc3,NT5D3_MOUSE 5'-nucleotidase domain-containing protein 3
sp|Q8BZ32|ASXL2_MOUSE,7921,Asxl2,ASXL2_MOUSE Putative Polycomb group protein ASXL2
sp|P54254|ATX1_MOUSE,7922,Atxn1,ATX1_MOUSE Ataxin-1
sp|Q8CHC8|ADNP2_MOUSE,7923,Adnp2,ADNP2_MOUSE ADNP homeobox protein 2
sp|O09117|SYPL1_MOUSE,7924,Sypl1,SYPL1_MOUSE Synaptophysin-like protein 1
sp|Q810J8|ZFYV1_MOUSE,7925,Zfyve1,ZFYV1_MOUSE Zinc finger FYVE domain-containing protein 1
sp|P61957|SUMO2_MOUSE,7926,Sumo2,SUMO2_MOUSE Small ubiquitin-related modifier 2
sp|Q3KNJ2|NHEJ1_MOUSE,7927,Nhej1,NHEJ1_MOUSE Non-homologous end-joining factor 1
tr|Q3UGX8|Q3UGX8_MOUSE,7928,Rapgef1,Q3UGX8_MOUSE Protein Rapgef1
sp|A2AVZ9|S43A3_MOUSE,7929,Slc43a3,S43A3_MOUSE Solute carrier family 43 member 3
sp|P17012|ZFX_MOUSE,7930,Zfx,ZFX_MOUSE Zinc finger X-chromosomal protein
sp|Q9DAM5|TPC_MOUSE,7931,Slc25a19,TPC_MOUSE Mitochondrial thiamine pyrophosphate carrier
sp|Q99JH8|ERD21_MOUSE,7932,Kdelr1,ERD21_MOUSE ER lumen protein-retaining receptor 1
sp|Q8K2A8|ALG3_MOUSE,7933,Alg3,"ALG3_MOUSE Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase"
tr|Q99LF7|Q99LF7_MOUSE,7934,Dcaf4,Q99LF7_MOUSE Protein Dcaf4
sp|Q8BIY1|GPTC3_MOUSE,7935,Gpatch3,GPTC3_MOUSE G patch domain-containing protein 3
sp|Q6PEV3|WIPF2_MOUSE,7936,Wipf2,WIPF2_MOUSE WAS/WASL-interacting protein family member 2
sp|Q9DBT4|ENTP4_MOUSE,7937,Entpd4,ENTP4_MOUSE Ectonucleoside triphosphate diphosphohydrolase 4
sp|P09813|APOA2_MOUSE,7938,Apoa2,APOA2_MOUSE Apolipoprotein A-II
sp|P56390|CKS2_MOUSE,7939,Cks2,CKS2_MOUSE Cyclin-dependent kinases regulatory subunit 2
tr|D3YVV6|D3YVV6_MOUSE,7940,Hs3st4,D3YVV6_MOUSE Protein Hs3st4
sp|P51830|ADCY9_MOUSE,7941,Adcy9,ADCY9_MOUSE Adenylate cyclase type 9
sp|Q6IE82|JADE3_MOUSE,7942,Jade3,JADE3_MOUSE Protein Jade-3
tr|E0CXL1|E0CXL1_MOUSE,7943,C130026I21Rik,E0CXL1_MOUSE Protein C130026I21Rik
sp|Q8C2P3|DUS1L_MOUSE,7944,Dus1l,DUS1L_MOUSE tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like
sp|Q78KK3|S22AI_MOUSE,7945,Slc22a18,S22AI_MOUSE Solute carrier family 22 member 18
sp|Q9JKF6|PVRL1_MOUSE,7946,Pvrl1,PVRL1_MOUSE Nectin-1
sp|Q61271|ACV1B_MOUSE,7947,Acvr1b,ACV1B_MOUSE Activin receptor type-1B
sp|Q9D7V2|LYSM2_MOUSE,7948,Lysmd2,LYSM2_MOUSE LysM and putative peptidoglycan-binding domain-containing protein 2
sp|Q9EQQ2|YIPF5_MOUSE,7949,Yipf5,YIPF5_MOUSE Protein YIPF5
sp|Q9D2U5|LSMD1_MOUSE,7950,Naa38,"LSMD1_MOUSE N-alpha-acetyltransferase 38, NatC auxiliary subunit"
sp|O88843|CRADD_MOUSE,7951,Cradd,CRADD_MOUSE Death domain-containing protein CRADD
sp|Q923W1|TGS1_MOUSE,7952,Tgs1,TGS1_MOUSE Trimethylguanosine synthase
sp|Q9CQE7|ERGI3_MOUSE,7953,Ergic3,ERGI3_MOUSE Endoplasmic reticulum-Golgi intermediate compartment protein 3
sp|Q8BHL4|RAI3_MOUSE,7954,Gprc5a,RAI3_MOUSE Retinoic acid-induced protein 3
sp|B1AUE5|PEX10_MOUSE,7955,Pex10,PEX10_MOUSE Peroxisome biogenesis factor 10
sp|Q8CFA2|GCST_MOUSE,7956,Amt,"GCST_MOUSE Aminomethyltransferase, mitochondrial"
sp|P97425|ECP2_MOUSE,7957,Ear2,ECP2_MOUSE Eosinophil cationic protein 2
sp|P33267|CP2F2_MOUSE,7958,Cyp2f2,CP2F2_MOUSE Cytochrome P450 2F2
sp|Q9QYK5|H6ST1_MOUSE,7959,Hs6st1,H6ST1_MOUSE Heparan-sulfate 6-O-sulfotransferase 1
sp|Q7TT52|PP14D_MOUSE,7960,Ppp1r14d,PP14D_MOUSE Protein phosphatase 1 regulatory subunit 14D
sp|Q3UPL5|CK096_MOUSE,7961,Ag2,CK096_MOUSE Uncharacterized protein C11orf96 homolog
sp|Q9QUK3|CLN8_MOUSE,7962,Cln8,CLN8_MOUSE Protein CLN8
sp|P30355|AL5AP_MOUSE,7963,Alox5ap,AL5AP_MOUSE Arachidonate 5-lipoxygenase-activating protein
sp|Q91WG3|TRUB2_MOUSE,7964,Trub2,TRUB2_MOUSE Probable tRNA pseudouridine synthase 2
sp|O89019|INVS_MOUSE,7965,Invs,INVS_MOUSE Inversin
sp|Q8CIF4|BTD_MOUSE,7966,Btd,BTD_MOUSE Biotinidase
sp|P01680|KV4A1_MOUSE,7967,,KV4A1_MOUSE Ig kappa chain V-IV region S107B
sp|Q6A078|CE290_MOUSE,7968,Cep290,CE290_MOUSE Centrosomal protein of 290 kDa
sp|Q8BH70|FBXL4_MOUSE,7969,Fbxl4,FBXL4_MOUSE F-box/LRR-repeat protein 4
sp|Q8K353|CYTM1_MOUSE,7970,Cystm1,CYTM1_MOUSE Cysteine-rich and transmembrane domain-containing protein 1
sp|Q6NXK2|ZN532_MOUSE,7971,Znf532,ZN532_MOUSE Zinc finger protein 532
sp|Q3UJ81|NEPR1_MOUSE,7972,Cnep1r1,NEPR1_MOUSE Nuclear envelope phosphatase-regulatory subunit 1
sp|Q99KL7|RAB28_MOUSE,7973,Rab28,RAB28_MOUSE Ras-related protein Rab-28
sp|Q3UHX9|CI114_MOUSE,7974,D2Wsu81e,CI114_MOUSE Uncharacterized protein C9orf114 homolog
sp|Q62283|TSN7_MOUSE,7975,Tspan7,TSN7_MOUSE Tetraspanin-7
sp|Q9D187|MIP18_MOUSE,7976,Fam96b,MIP18_MOUSE Mitotic spindle-associated MMXD complex subunit MIP18
sp|Q9D6N5|NC2A_MOUSE,7977,Drap1,NC2A_MOUSE Dr1-associated corepressor
sp|P23242|CXA1_MOUSE,7978,Gja1,CXA1_MOUSE Gap junction alpha-1 protein
sp|O54790|MAFG_MOUSE,7979,Mafg,MAFG_MOUSE Transcription factor MafG
sp|Q6GQV7|EDRF1_MOUSE,7980,Edrf1,EDRF1_MOUSE Erythroid differentiation-related factor 1
sp|Q8R0A2|ZBT44_MOUSE,7981,Zbtb44,ZBT44_MOUSE Zinc finger and BTB domain-containing protein 44
sp|Q6VH22|IF172_MOUSE,7982,Ift172,IF172_MOUSE Intraflagellar transport protein 172 homolog
sp|Q7TN60|TMC6_MOUSE,7983,Tmc6,TMC6_MOUSE Transmembrane channel-like protein 6
sp|Q8CGI1|F193A_MOUSE,7984,Fam193a,F193A_MOUSE Protein FAM193A
sp|Q80VW7|AKNA_MOUSE,7985,Akna,AKNA_MOUSE AT-hook-containing transcription factor
sp|Q9D7J9|ECHD3_MOUSE,7986,Echdc3,"ECHD3_MOUSE Enoyl-CoA hydratase domain-containing protein 3, mitochondrial"
sp|Q8BHT7|RGP1_MOUSE,7987,Rgp1,RGP1_MOUSE Retrograde Golgi transport protein RGP1 homolog
sp|Q18PE0|DOK7_MOUSE,7988,Dok7,DOK7_MOUSE Protein Dok-7
tr|D3YX49|D3YX49_MOUSE,7989,Zfp384,D3YX49_MOUSE Protein Zfp384
sp|P15501|SPBP_MOUSE,7990,Sbp,SPBP_MOUSE Prostatic spermine-binding protein
sp|Q64374|RGN_MOUSE,7991,Rgn,RGN_MOUSE Regucalcin
sp|Q5PR73|DIRA2_MOUSE,7992,Diras2,DIRA2_MOUSE GTP-binding protein Di-Ras2
tr|Q7M6X3|Q7M6X3_MOUSE,7993,Zfp759,Q7M6X3_MOUSE Protein Zfp759
sp|Q6NSR3|ADCK2_MOUSE,7994,Adck2,ADCK2_MOUSE Uncharacterized aarF domain-containing protein kinase 2
sp|Q8BHR2-2|ENOX1_MOUSE,7995,Enox1,ENOX1_MOUSE Isoform 2 of Ecto-NOX disulfide-thiol exchanger 1
sp|Q10470|MGAT3_MOUSE,7996,Mgat3,"MGAT3_MOUSE Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
tr|E9Q6H7|E9Q6H7_MOUSE,7997,,E9Q6H7_MOUSE Uncharacterized protein
sp|Q99LT0|DPY30_MOUSE,7998,Dpy30,DPY30_MOUSE Protein dpy-30 homolog
sp|Q8VCL5|S17A9_MOUSE,7999,Slc17a9,S17A9_MOUSE Solute carrier family 17 member 9
sp|Q9D113|DNLZ_MOUSE,8000,Dnlz,DNLZ_MOUSE DNL-type zinc finger protein
sp|Q5XJV7|SETD5_MOUSE,8001,Setd5,SETD5_MOUSE SET domain-containing protein 5
sp|Q9CR48|DRAM2_MOUSE,8002,Dram2,DRAM2_MOUSE DNA damage-regulated autophagy modulator protein 2
sp|Q8CE50|SNX30_MOUSE,8003,Snx30,SNX30_MOUSE Sorting nexin-30
sp|P17515|CXL10_MOUSE,8004,Cxcl10,CXL10_MOUSE C-X-C motif chemokine 10
sp|Q6ZWV7|RL35_MOUSE,8005,Rpl35,RL35_MOUSE 60S ribosomal protein L35
sp|P97931|UNG_MOUSE,8006,Ung,UNG_MOUSE Uracil-DNA glycosylase
sp|Q9WV69|DEMA_MOUSE,8007,Dmtn,DEMA_MOUSE Dematin
sp|Q5U431|GPR39_MOUSE,8008,Gpr39,GPR39_MOUSE G-protein coupled receptor 39
sp|Q99P65|S29A3_MOUSE,8009,Slc29a3,S29A3_MOUSE Equilibrative nucleoside transporter 3
sp|Q5RJH2|MCTP2_MOUSE,8010,Mctp2,MCTP2_MOUSE Multiple C2 and transmembrane domain-containing protein 2
sp|Q64191|ASPG_MOUSE,8011,Aga,ASPG_MOUSE N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
sp|Q7TT16|IPMK_MOUSE,8012,Ipmk,IPMK_MOUSE Inositol polyphosphate multikinase
sp|Q8K2H6|APC10_MOUSE,8013,Anapc10,APC10_MOUSE Anaphase-promoting complex subunit 10
sp|Q8C1Q6|SMIM4_MOUSE,8014,Smim4,SMIM4_MOUSE Small integral membrane protein 4
sp|Q9D2V5|AAR2_MOUSE,8015,Aar2,AAR2_MOUSE Protein AAR2 homolog
sp|Q9WUH7|SEM4G_MOUSE,8016,Sema4g,SEM4G_MOUSE Semaphorin-4G
tr|Q9D2Z1|Q9D2Z1_MOUSE,8017,Ceacam20,Q9D2Z1_MOUSE Protein Ceacam20
sp|Q60760|GRB10_MOUSE,8018,Grb10,GRB10_MOUSE Growth factor receptor-bound protein 10
sp|P28076|PSB9_MOUSE,8019,Psmb9,PSB9_MOUSE Proteasome subunit beta type-9
sp|Q61152|PTN18_MOUSE,8020,Ptpn18,PTN18_MOUSE Tyrosine-protein phosphatase non-receptor type 18
sp|O88502|PDE8A_MOUSE,8021,Pde8a,"PDE8A_MOUSE High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8A"
sp|Q9D1I6|RM14_MOUSE,8022,Mrpl14,"RM14_MOUSE 39S ribosomal protein L14, mitochondrial"
sp|O88566|AXIN2_MOUSE,8023,Axin2,AXIN2_MOUSE Axin-2
sp|Q99N09|M4A6B_MOUSE,8024,Ms4a6b,M4A6B_MOUSE Membrane-spanning 4-domains subfamily A member 6B
sp|Q61025|IFT20_MOUSE,8025,Ift20,IFT20_MOUSE Intraflagellar transport protein 20 homolog
tr|E0CYM0|E0CYM0_MOUSE,8026,1700019G17Rik,E0CYM0_MOUSE Protein 1700019G17Rik
sp|Q9D4G9|RMI1_MOUSE,8027,Rmi1,RMI1_MOUSE RecQ-mediated genome instability protein 1
tr|Q6PCP3|Q6PCP3_MOUSE,8028,Dusp16,Q6PCP3_MOUSE Dual specificity phosphatase 16
sp|Q8K479|C1QT5_MOUSE,8029,C1qtnf5,C1QT5_MOUSE Complement C1q tumor necrosis factor-related protein 5
sp|Q80ZW2|THEM6_MOUSE,8030,Them6,THEM6_MOUSE Protein THEM6
tr|E9Q816|E9Q816_MOUSE,8031,Cyp2w1,E9Q816_MOUSE Protein Cyp2w1
sp|Q61089|FZD6_MOUSE,8032,Fzd6,FZD6_MOUSE Frizzled-6
sp|P61961|UFM1_MOUSE,8033,Ufm1,UFM1_MOUSE Ubiquitin-fold modifier 1
