Protein Id,Id,Gene Symbol,Description
sp|P14873|MAP1B_MOUSE,117,Map1b,MAP1B_MOUSE Microtubule-associated protein 1B
sp|Q9QYR6|MAP1A_MOUSE,118,Map1a,MAP1A_MOUSE Microtubule-associated protein 1A
sp|P51612|XPC_MOUSE,119,Xpc,XPC_MOUSE DNA repair protein complementing XP-C cells homolog
sp|Q62383|SPT6H_MOUSE,120,Supt6h,SPT6H_MOUSE Transcription elongation factor SPT6
sp|P28660|NCKP1_MOUSE,121,Nckap1,NCKP1_MOUSE Nck-associated protein 1
sp|Q3TWF6|WDR70_MOUSE,122,Wdr70,WDR70_MOUSE WD repeat-containing protein 70
sp|P28867|KPCD_MOUSE,123,Prkcd,KPCD_MOUSE Protein kinase C delta type
sp|P68404-2|KPCB_MOUSE,124,Prkcb,KPCB_MOUSE Isoform Beta-II of Protein kinase C beta type
tr|Q4VA93|Q4VA93_MOUSE,125,Prkca,Q4VA93_MOUSE Protein kinase C
sp|P16054|KPCE_MOUSE,126,Prkce,KPCE_MOUSE Protein kinase C epsilon type
sp|P23298|KPCL_MOUSE,127,Prkch,KPCL_MOUSE Protein kinase C eta type
sp|P37804|TAGL_MOUSE,128,Tagln,TAGL_MOUSE Transgelin
tr|B1AWE0|B1AWE0_MOUSE,129,Clta,B1AWE0_MOUSE Clathrin light chain A
sp|A3KGB4|TBC8B_MOUSE,130,Tbc1d8b,TBC8B_MOUSE TBC1 domain family member 8B
sp|Q9Z1A9|TBCD8_MOUSE,131,Tbc1d8,TBCD8_MOUSE TBC1 domain family member 8
sp|Q61712|DNJC1_MOUSE,132,Dnajc1,DNJC1_MOUSE DnaJ homolog subfamily C member 1
sp|Q3UNA4|NXT2_MOUSE,133,Nxt2,NXT2_MOUSE NTF2-related export protein 2
sp|Q9QZV9|NXT1_MOUSE,134,Nxt1,NXT1_MOUSE NTF2-related export protein 1
sp|Q8R060|ZWILC_MOUSE,135,Zwilch,ZWILC_MOUSE Protein zwilch homolog
sp|A6H5Y3|METH_MOUSE,136,Mtr,METH_MOUSE Methionine synthase
sp|Q9CU65|ZMYM2_MOUSE,137,Zmym2,ZMYM2_MOUSE Zinc finger MYM-type protein 2
sp|Q6PHS6|SNX13_MOUSE,138,Snx13,SNX13_MOUSE Sorting nexin-13
