Gene Symbol,control1,control2,control3,control4,control5,KRAS1,KRAS2,KRAS3,KRAS4,KRAS5
Mettl13,9.94823,10.4004,10.2501,9.00885,9.48823,10.3717,10.4154,10.3887,10.3294,9.39893
Aldh2,8.80665,9.22579,8.88408,11.3422,10.8583,9.66818,9.57902,9.88705,9.77021,11.9785
Aldh1b1,12.2803,13.5812,12.6306,12.8801,12.0637,6.61298,5.8226,7.05983,7.74964,9.31907
Aldh1a3,3.21953,3.45371,3.3786,3.6628,3.65782,14.8214,19.0353,20.7985,13.062,14.9103
Aldh1a2,11.1038,11.846,10.8623,11.4271,10.3961,8.48491,8.03516,8.81317,8.72017,10.3114
Aldh1a7,11.2532,10.1051,9.39729,13.7199,13.6059,6.97452,6.88029,7.07116,8.9937,11.9988
Aldh1a1,10.63,9.99676,8.85261,15.523,15.2809,6.76013,5.92618,6.10675,8.92935,11.9944
Commd3,9.57843,10.2024,11.3755,11.033,10.5113,11.0518,9.87777,8.15082,9.79712,8.42188
Clca6,9.24751,10.768,10.3711,12.8646,9.33837,7.9512,6.99689,9.00238,10.6093,12.8506
AI747448,8.95429,11.2914,11.1169,12.7285,9.65131,7.69667,6.87523,8.68941,11.194,11.8023
Ik,10.5424,9.99746,10.6179,9.50868,9.22611,10.1227,10.1268,10.1705,10.1679,9.51962
Ccdc124,10.1813,10.3769,9.46697,9.41494,9.12051,11.2228,9.96382,10.1438,10.0949,10.0141
Cobl,9.64521,10.3151,9.83352,8.68344,9.36061,10.4889,10.4571,11.4832,9.87049,9.86233
Srm,10.7845,10.5128,10.6399,9.89465,10.0569,9.8145,9.92362,9.81899,9.69623,8.85789
Iqgap2,8.98734,8.99269,8.57995,10.671,9.72588,10.306,10.2597,10.524,10.3569,11.5966
Iqgap1,8.6345,8.50894,8.69316,9.09264,9.04665,11.0903,12.0536,11.552,10.5727,10.7555
Iqgap3,9.51147,10.6577,9.68811,9.11602,8.98894,11.2668,10.7245,10.0029,11.0657,8.97795
Smarcd2,10.5644,10.4784,11.0758,9.95132,10.0378,10.1703,9.24609,9.54369,9.90156,9.03066
Smarcd1,9.8948,10.9652,10.6401,8.56476,8.97861,10.3856,9.78111,11.122,9.67352,9.99428
Rcc2,9.69575,10.1372,10.7935,8.47333,8.7232,10.3812,11.0173,11.2653,10.2052,9.30802
Gclm,9.81466,10.0715,10.1411,10.3971,9.77125,9.89055,9.95413,10.0982,9.44653,10.415
Hrsp12,9.74907,9.05994,9.63408,9.96236,8.51528,12.6148,9.98699,9.68426,10.5271,10.2661
Dera,11.0616,10.5545,10.2523,11.1854,10.9888,9.60978,9.06659,8.69567,9.26008,9.32519
Ktn1,9.49934,9.33302,9.82416,9.14282,9.53056,10.701,10.7212,9.98982,10.7119,10.5462
Ktn1,10.2017,9.97838,10.1625,8.94378,9.22094,10.6948,10.4583,10.2222,10.078,10.0394
Tigar,9.47191,9.85339,9.78592,9.98515,9.7767,10.4656,10.3289,10.5981,9.92735,9.80695
Atp6v1d,9.87199,9.21892,10.3581,10.7331,10.9089,9.00302,9.50097,9.7634,10.588,10.0536
Lmna,8.50348,8.3763,8.37606,9.01891,8.94943,11.1583,12.499,11.2587,10.9128,10.9471
Pgm5,9.12607,9.55225,8.48769,14.4682,16.3449,6.68806,7.63709,6.46522,9.27638,11.9542
Pgm1,10.2343,10.0797,9.81443,11.2378,11.4207,9.00515,8.9897,9.07572,9.65407,10.4884
Strip1,9.61636,9.25112,10.0545,9.19312,9.73201,10.9556,10.7151,10.5944,10.548,9.33985
